Code execution time: 2024-08-03 22:08:53.080595
Re-projection Error (RMSE): 0.2152193476812434
Camera Matrix: [[504.20034816824545, 0.0, 312.9629848625226], [0.0, 503.7674662444166, 243.20207085713045], [0.0, 0.0, 1.0]]
Distortion Coefficients: [[0.21978900233569554, -0.5379396069893799, 4.220496189394527e-05, -0.0027732884374294855, 0.3219619310082676]]
Image File, Corners Detected, RMSE, rvec, ,,tvec
image_11.jpg, True, 0.02995, [0.31549220520480165, 0.5889039506705416, 1.3988035057480468], [0.2576863900740062, -0.20343368950537818, 0.9886448203446585]
image_18.jpg, True, 0.03630, [-0.4062919763091257, -0.7209100847389545, 1.3634927424844456], [0.3470783380858013, -0.33237341289169536, 1.2937605828099226]
image_21.jpg, True, 0.03471, [0.8481812301669788, 0.19787503388121505, 1.4642022578127203], [0.10896797359700235, -0.2102777970745177, 0.7654304701251744]
image_23.jpg, True, 0.03471, [0.28397990744262913, 0.5896193902966675, 1.3192637688275008], [0.19242577844401756, -0.3161351377122892, 0.8884158315808647]
image_24.jpg, True, 0.02885, [0.15268965315689972, 0.5729911293657168, 1.4135564244892673], [0.16904284210974704, -0.24486505295791106, 0.9108164138827277]
image_25.jpg, True, 0.02967, [-0.12545039109805353, 0.26737114447301424, 1.5223130953445414], [0.3482062545811571, -0.22504055702701903, 0.9846814335532509]
image_26.jpg, True, 0.02652, [-0.1918912749974512, 0.3738278127261939, 1.5533397707322816], [0.4615239359330669, -0.2883804151149249, 1.1274236994666655]
image_27.jpg, True, 0.02814, [-0.3384382267049417, -0.4727200240935473, 1.5949832054064093], [0.5114294340976006, -0.26230360394311153, 1.4877368576694208]
image_30.jpg, True, 0.01833, [-0.15667810680943683, 0.053428273647444666, 1.5203101491643334], [0.3030516539525028, -0.23777994412885117, 1.926481874882413]
image_41.jpg, True, 0.02613, [-0.21419459149427922, 0.32076284571969066, 1.5331076556905985], [0.3169466165761657, -0.2524132115046308, 1.1180841266241222]
image_42.jpg, True, 0.02460, [-0.2148433366314566, 0.3823977202349448, 1.5054092937867143], [0.36014131083303436, -0.2241657076298853, 1.0529856386934442]
image_50.jpg, True, 0.03251, [-0.01476578988869468, 0.08916139092038662, 1.5416888043775017], [0.37317815872495447, -0.25805571561033563, 0.8492737098260269]
image_6.jpg, True, 0.03237, [-0.6942226450806611, -0.5755120558661398, 1.4505844387715952], [0.21784470767311076, -0.2689647666506951, 1.4554674184943983]
image_72.jpg, True, 0.02117, [-0.4027490726484605, -0.05934931494110304, 1.5319462933582886], [0.22351614634744074, -0.2325553475672838, 1.4884090177536753]
