******start haeder******
Code execution time:,,, 2024-08-08 23:23:32.548596
flag_init_cam_param:,,, 0
init camera Matrix:,,, [[534.1321116406265, 0.0, 342.84407100683023], [0.0, 534.1866819954415, 233.71840613166415], [0.0, 0.0, 1.0]]
******end haeder******

<<calibration result>>
Re-projection Error (RMSE):,,, 0.23410095078040968
Camera Matrix:,,, [[534.1321116406265, 0.0, 342.84407100683023], [0.0, 534.1866819954415, 233.71840613166415], [0.0, 0.0, 1.0]]
Distortion Coefficients:,,, [[-0.2758784085740771, 0.004828322765967192, 0.0012515367509797948, 1.5080182687675847e-05, 0.18018548071694065]]
Image File, Corners Detected, RMSE, rvec,,,tvec,,,rvec std,tvec_std
left01.jpg, True, 0.19478, [-0.08405504992613244, 0.34508882881026604, -1.543060927802301], [-0.11911835837951026, 0.025156560580644388, 0.6706124442111749], [0.91725957691444], [0.00289502383949826]
left03.jpg, True, 0.17999, [-0.34889338364139966, -0.07059893896279859, -1.2008544009866224], [-0.1375350887243285, 0.021052778233470484, 0.4603052410134619], [0.931218506643027], [0.002779968654137117]
left04.jpg, True, 0.19485, [-0.2761668647978046, 0.09668614449656637, -1.5634733088936468], [-0.16026391890254338, 0.09282922290775181, 0.5049082983778739], [0.8501395414788477], [0.0004833344603285285]
left05.jpg, True, 0.15163, [-0.4763929676373301, 0.08813841364529035, -0.2262962570813678], [-0.10118585375040723, -0.13552719339579622, 0.51281320520349], [0.9442679722387518], [0.0010617399307651606]
left06.jpg, True, 0.15729, [0.06146614655817638, 0.4477259906560981, 0.10748832727951359], [0.0877996770951019, -0.12636380213503778, 0.6221556898651319], [0.009933660500309152], [0.0011812165978409058]
left07.jpg, True, 0.22813, [-0.106639691918838, 0.31836173998551337, 0.31375932466319906], [-0.14974884739544744, -0.1700022968834998, 0.6859931115662797], [0.07617628488957243], [0.0010756676990462649]
left08.jpg, True, 0.23331, [-0.3570496670367922, 0.2398789617706713, 0.20916229031863878], [-0.06412977231767485, -0.17078413640610926, 0.5589144994806047], [0.0002103522475909042], [0.002046503698358399]
left09.jpg, True, 0.30607, [0.48017787943474527, -0.1725385442128132, -1.4068228802006257], [-0.14058763662187332, 0.06629155878665033, 0.476671647030901], [0.00025753187446223626], [0.0019822989960775494]
left11.jpg, True, 0.14947, [0.04918291493943924, -0.6024934280608186, -0.18344345098631087], [-0.08715572874010352, -0.13853346586044088, 0.4279602147629253], [0.16311315677382046], [0.00044860482407055075]
left12.jpg, True, 0.18667, [-0.3780001403559019, 0.0685388088457517, -0.019695823950888418], [-0.11885201733159231, -0.15596131937649663, 0.5269951082367711], [0.0], [0.0007374634925512138]
left13.jpg, True, 0.46866, [0.4918211148092307, 0.11837233942922108, -0.2967304186814158], [-0.13669084299987302, -0.0946800336147199, 0.5016090105383216], [0.0], [0.0008152926482154814]
left14.jpg, True, 0.15691, [0.1933556515939386, -0.42090045803726434, -0.19412773383962292], [-0.10747852386276546, -0.12613702194055043, 0.42177281140811396], [0.0], [0.0007974570236960494]
